"State","City","Revenue"
"Minnesota","Shoreview","10401.52"
"Minnesota","Woodbury","7660.5"
"Mississippi","Biloxi","2598.54"
"Missouri","Bridgeton","2873.27"
"Missouri","Jefferson City","2014.93"
"Missouri","Kirkwood","4746.99"
"Missouri","Wentzville","4331.49"
"Montana","Bozeman","1839.09"
"Montana","Helena","1083.3"
"Nebraska","La Vista","1037.95"
"Nevada","North Las Vegas","17888.53"
"New Hampshire","Manchester","2259.42"
"New Jersey","Hawthorne","883.71"
"New Jersey","Maple Shade","554.02"
"New Jersey","North Plainfield","2417.3"
"New Jersey","Old Bridge","1614.66"
"New Jersey","Secaucus","36789.48"
"New Jersey","Willingboro","702.44"
"New Mexico","Alamogordo","6367.43"
"New Mexico","Farmington","1755.8"
"New York","Depew","4499.13"
"New York","Hicksville","1320.89"
"New York","Levittown","3993.8"
"New York","New York City","146980.52"
"New York","Rochester","1664.38"
"New York","Roosevelt","501.95"
"New York","Rye","2349.79"
"New York","Valley Stream","7322.99"
"North Carolina","Charlotte","7474.22"
"North Carolina","Fort Bragg","1050.35"
"North Carolina","Goldsboro","4711.37"
"North Carolina","Greenville","10513.44"
"North Carolina","Indian Trail","835.63"
"North Carolina","Salisbury","2384.36"
"North Dakota","Mandan","11783.95"
"Ohio","Akron","2790.95"
"Ohio","Dayton","4886.22"
"Ohio","Dublin","2841.71"
"Ohio","Fairfield","35185.59"
"Ohio","Kent","6098.64"
"Ohio","Lima","673.28"
"Ohio","Massillon","2426.56"
"Ohio","North Ridgeville","1786.21"
"Ohio","Springfield","1245.27"
"Ohio","Warren","359.23"
"Oklahoma","Altus","577.04"
"Oklahoma","Edmond","13897.63"
"Oregon","Albany","6792.25"
"Oregon","Klamath Falls","13247.55"
"Oregon","Medford","3404.17"
"Oregon","Oregon City","11882.79"
"Oregon","Portland","3902.66"
"Pennsylvania","Baldwin","191.5"
"Pennsylvania","Chester","5557.44"
"Pennsylvania","Hazleton","912.5"
"Pennsylvania","Wilkinsburg","2494.74"
"Tennessee","Columbia","17695.43"
"Tennessee","Murfreesboro","7847.21"
"Texas","Bedford","3479.71"
"Texas","Corsicana","971.15"
"Texas","Flower Mound","1198.55"
"Texas","Greenville","3516.17"
"Texas","Houston","12858.91"
"Texas","Huntsville","5364.83"
"Texas","Lake Jackson","2139.37"
"Texas","Seguin","2283.51"
"Texas","Sulphur Springs","6864.97"
"Texas","Texas City","1794.82"
"Utah","Lehi","2305.22"
"Vermont","Bennington","33996.95"
"Virginia","Herndon","11954.12"
"Virginia","Rose Hill","10810.14"
"Washington","Cottage Lake","1064.68"
"Washington","Marysville","355.2"
"Washington","Parkland","2983.88"
"Washington","Puyallup","1900.13"
"Washington","Redmond","13475.56"
"Washington","Seattle","7352.98"
"West Virginia","Beckley","7795.18"
"Wisconsin","Appleton","381.8"
"Wisconsin","Green Bay","6421.62"
"Wisconsin","Madison","263.45"
"Wisconsin","Oak Creek","2831.86"
"Wisconsin","Oshkosh","1905.7"
"Wisconsin","Sun Prairie","1171.78"
